Age Synchro C14;Diff AICC;Diff volcanoWD;Diff volcanoPS1
3901.69;-33.77;-1.4;
3927.34;-31.11;-0.63;
3952.99;-29.06;0.44;
3978.65;-27.61;0.58;
4004.89;-25.59;1;
4030.55;-24.14;1.94;
4056.2;-22.88;3.27;
4082.44;-21.21;4.65;
4107.71;-20.51;5.94;
4130.86;-21.93;6.06;
4152.86;-24.76;3.98;
4173.13;-29.59;-0.89;
4193.4;-34.43;-5.58;
4214.14;-38.79;-8.31;
4234.41;-42.61;-12.63;
4254.68;-45.41;-15.75;
4275.42;-47.74;-18.6;
4296.15;-50.08;-21.57;
4316.43;-51.92;-22.96;
4336.69;-52.82;-23.97;
4357.43;-53.24;-24.58;
4378.17;-53.66;-24.36;
4398.44;-54.58;-23.9;
4419.1;-55.14;-21.56;
4442.13;-53.33;-18.15;
4465.47;-51.21;-14.58;
4488.79;-49.25;-11.18;
4511.6;-47.94;-9.28;
4534.41;-46.62;-6.43;
4557.73;-44.8;-3.2;
4581.07;-43.97;-2.86;
4604.4;-44.17;-5.47;
4627.73;-44.37;-8.73;
4651.87;-43.76;-9.64;
4677.42;-42.43;-9.34;
4703.07;-41.69;-8.99;
4729.32;-40.35;-8.75;
4755.57;-39.01;-8.95;
4781.82;-36.87;-7.3;
4808.06;-33.92;-5.89;
4834.31;-30.96;-4.83;
4860.56;-28;-4.28;
4886.71;-26.2;-3.78;
4910.89;-27.41;-4.16;
4934.23;-29.46;-4.08;
4957.56;-31.52;-3.78;
4980.89;-33.21;-3.87;
5004.22;-34.54;-7.98;
5027.55;-35.85;-11.2;
5050.89;-37.17;-12.91;
5075.3;-36.77;-12.62;
5101.51;-33.95;-10.23;
5128.35;-30.49;-7.56;
5155.19;-27.04;-6.57;
5181.44;-24.64;-7.58;
5207.69;-22.69;-5.86;
5233.94;-20.75;-5.17;
5260.19;-18.82;-3.34;
5286.74;-16.12;1.97;
5313.23;-13.04;7.73;
5337.36;-12.32;10.16;
5360.96;-12.13;9.3;
5384.55;-11.86;2.62;
5408.87;-10.79;1.16;
5435.11;-7.79;0.76;
5461.19;-4.96;1.8;
5485.44;-3.92;-3.25;
5509.32;-3.22;-3.07;
5534.71;-1.01;1.56;
5561.55;2.65;8.21;
5587.16;4.77;12.72;
5608.51;2.32;12.2;
5629.48;-0.51;11.97;
5650.69;-3.1;12.09;
5671.9;-5.77;12.33;
5693.11;-8.52;11.33;
5714.32;-11.26;12.04;
5735.53;-14.01;10.33;
5756.51;-17.19;7.48;
5777.72;-20.34;8.82;
5798.93;-23.49;6.9;
5820.14;-26.64;4.93;
5841.35;-29.64;3.57;
5862.5;-32.56;1.65;
5885.8;-33.32;1.16;
5909.75;-33.44;1.06;
5933.79;-33.29;0.65;
5957.82;-32.98;0.22;
5982.64;-31.88;-0.8;
6009.37;-28.87;0.57;
6036.51;-26.09;0.32;
6063.36;-24.25;-0.7;
6090.21;-22.4;1.06;
6117.64;-19.98;1.49;
6144.49;-17.6;-0.85;
6171.34;-14.7;-0.87;
6198.78;-11.21;-0.73;
6225.29;-8.65;0.67;
6247.48;-10.61;-1.14;
6268.92;-13.54;-3.45;
6291.31;-15.52;-5.02;
6315.58;-15.62;-6.18;
6339.82;-15.77;-6.66;
6363.91;-16.09;-6.75;
6388;-16.42;-7.19;
6413.25;-15.58;-5.21;
6440.31;-14.24;-3.84;
6467.41;-14.16;0.01;
6494.51;-14.09;3.11;
6521.64;-13.98;5.59;
6546.5;-15.21;7.01;
6568.58;-18.28;4.11;
6590.26;-21.76;1.62;
6611.94;-25.23;-0.58;
6633.63;-28.38;-3.56;
6655.54;-31;-5.78;
6681.13;-29.94;-3.51;
6708.57;-27.03;-1.64;
6736.02;-23.97;1.38;
6763.46;-20.79;4.9;
6790.39;-18.11;7.02;
6815.09;-17.67;6.95;
6839.49;-18.66;5.67;
6863.74;-20.93;4.96;
6887.87;-23.33;2.8;
6912;-25.72;0.71;
6936.13;-27.91;-0.02;
6960.39;-29.77;-1.1;
6984.78;-31.5;-1.57;
7009.17;-33.23;-2.23;
7033.57;-34.93;-3.08;
7057.96;-36.61;-6.29;
7082.35;-38.29;-9.12;
7106.74;-39.97;-12;
7131.16;-41.63;-13.89;
