AICCoxy;d18O_vostok
7878.092747;-56.8315
7903.893187;-57.1544
7929.670955;-56.9129
7955.414716;-56.1218
7981.158477;-56.2049
8006.936245;-56.3803
8032.725349;-56.9108
8058.514453;-56.9286
8084.303558;-57.1998
8110.092662;-57.1256
8135.87043;-56.9542
8161.614191;-57.169
8187.357952;-56.9423
8213.13572;-57.1692
8238.924825;-56.7427
8264.713929;-56.5302
8290.503033;-56.926
8316.292137;-56.7575
8342.069906;-57.1624
8367.813666;-56.7731
8393.557427;-56.4267
8419.335196;-56.6691
8445.112964;-56.5761
8470.856725;-57.0133
8496.58915;-56.9962
8522.321575;-56.515
8548.053999;-56.9116
8573.786424;-56.6276
8599.518849;-56.4051
8625.251274;-56.7023
8650.983699;-56.6782
8676.716124;-56.6352
8702.448549;-56.7367
8728.180974;-56.6344
8753.913399;-56.3291
8779.645824;-56.0215
8805.378248;-56.4051
8831.110673;-56.3605
8856.831762;-56.333
8882.518844;-56.4188
8908.171918;-56.9238
8933.700297;-56.9996
8959.206004;-55.727
8984.711712;-56.4374
9010.217419;-56.7116
9035.723127;-56.6761
9061.228834;-56.0435
9086.734542;-56.3582
9112.240249;-56.8926
9137.745957;-57.0261
9163.251664;-56.9014
9188.757372;-56.3791
9214.263079;-56.0115
9239.768787;-56.4387
9265.274494;-56.2526
9290.780202;-55.5877
9316.285909;-56.3198
9341.791617;-56.5496
9367.285988;-55.7631
9392.746352;-55.3023
9418.184045;-55.7445
9443.53105;-56.4939
9468.855384;-56.4452
9494.14571;-56.24
9519.4247;-54.9635
9544.70369;-54.9708
9569.98268;-55.5562
9595.26167;-55.6169
9620.54066;-55.5539
9645.81965;-55.9189
9671.09864;-56.1275
9696.37763;-55.9536
9721.656621;-56.1685
9746.935611;-56.3065
9772.214601;-55.754
9797.493591;-56.5233
9822.772581;-56.677
9848.051571;-56.67
9873.319225;-56.4562
9898.552872;-56.3654
9923.763847;-55.602
9948.884135;-55.4044
9973.993087;-55.346
9999.102039;-55.3597
10024.21099;-55.8179
10049.31994;-55.201
10074.42889;-54.9807
10099.53785;-55.5396
10124.65813;-56.0962
10149.81243;-55.6012
10174.96673;-55.1321
10200.08701;-55.7477
10225.19597;-55.8684
