Age_synchroBe;C14Be 
1899.29;1.27617
1904;1.47309
1908.71;1.52175
1913.43;1.28182
1918.14;0.79481
1922.85;0.37695
1927.57;0.0875368
1932.28;0.0352719
1936.99;0.12924
1941.71;0.233067
1946.42;0.362564
1951.13;0.537496
1955.85;0.694617
1960.56;0.764752
1965.27;0.660937
1969.99;0.298185
1974.7;-0.0547069
1979.41;-0.283103
1984.13;-0.272371
1988.84;0.0229498
1993.56;0.286627
1998.27;0.445531
2002.98;0.400842
2007.7;0.178253
2012.41;-0.00482729
2017.12;-0.114798
2021.84;-0.0884119
2026.55;0.0209662
2031.26;0.126373
2035.98;0.22781
2040.69;0.327251
2045.4;0.422723
2050.12;0.514225
2054.83;0.601756
2059.54;0.687293
2064.26;0.766886
2068.97;0.83658
2073.69;0.892422
2078.4;0.930461
2083.11;0.946745
2087.83;0.931388
2092.54;0.848818
2097.25;0.681247
2101.97;0.503777
2106.68;0.30653
2111.39;0.0598554
2116.11;-0.23822
2120.82;-0.477014
2125.53;-0.58933
2130.25;-0.462509
2134.96;-0.126197
2139.67;0.174527
2144.39;0.404085
2149.1;0.50121
2153.82;0.48171
2158.53;0.470106
2163.24;0.48023
2167.96;0.531849
2172.67;0.601242
2177.38;0.654816
2182.1;0.676752
2186.81;0.643338
2191.52;0.576315
2196.24;0.513233
2200.95;0.454095
2205.66;0.400875
2210.38;0.355551
2215.09;0.328006
2219.8;0.33405
2224.52;0.391473
2229.23;0.456793
2233.95;0.482574
2238.66;0.435218
2243.37;0.25148
2248.09;0.0598244
2252.8;-0.0369687
2257.51;0.0441104
2262.23;0.441412
2266.94;0.927649
2271.65;1.35853
2276.37;1.70245
2281.08;1.92382
2285.79;2.12937
2290.51;2.36457
2295.22;2.6788
2299.93;3.12151
2304.65;3.48909
2309.36;3.65704
2314.08;3.44355
2318.79;2.65093
2323.5;1.7931
2328.22;1.01827
2332.93;0.385742
2337.64;-0.0471761
2342.36;-0.44057
2347.07;-0.849782
2351.78;-1.31434
