Site;lat;lon;10Be_conc;accu;10Be_flux
Vostok;-78.466667;106.8;0.88;2.098;58.539
Dome C;-74.65;124.166667;0.514836;2.922;47.698
South Pole;-90;0;0.39;7.2;89.042
Dome F;-77.316667;39.7;0.86775;3.174;87.342
Dome A;-80.366667;77.35;1.018;2.28;73.6
WAIS;-79.783333;-112.133333;0.14208;23.916;107.75
EDML;-75;0;0.39936078;6.528;82.669
Little Dome C;-75.1;123.35;0.55878912;2.8;49.614
Siple Dome;-81.654303;-149.005134;0.236;15;112.253
