Site;Latitude;Longitude;zobs;concobs;zmod;concmod
SD;-81.654303;-149.005134;730;0.238;305;0.254
WD;-79.783333;-112.133333;1766;0.143;1628;0.233
PS1;-90;0;2800;0.39;2579;0.399
EDML;-75;0;2892;0.399;2677;0.483
EDC;-75.06;123.21;3233;0.677;3165;0.575
LDC;-75.1;123.35;3233;0.56;3165;0.575
ODC;-74.39;124.10;3240;0.51;3121;0.468
VK;-78.466667;106.8;3488;0.881;3414;0.817
DF;-77.316667;39.7;3810;0.87;3666;0.69
DA;-80.366667;77.35;4093;1.012;3879;0.77
SPI;-89.98;-98.15;2835;0.349;2579;0.336
