age;intcal20_detrended
2055;-0.98237
2060;-0.944884
2065;-0.707811
2070;-0.471151
2075;-0.234901
2080;0.600939
2085;1.63637
2090;2.6714
2095;3.20602
2100;2.64023
2105;2.47405
2110;2.70746
2115;2.54047
2120;1.57308
2125;0.105299
2130;-0.26288
2135;0.968546
2140;2.09958
2145;1.83022
2150;-0.13953
2155;-2.50967
2160;-3.88019
2165;-3.45111
2170;-2.0224
2175;-1.39409
2180;-2.66615
2185;-4.5386
2190;-3.91142
2195;-1.88462
2200;-0.858203
2205;-0.732159
2210;-1.00649
2215;-1.18119
2220;-0.756269
2225;0.568284
2230;2.39247
2235;4.21629
2240;5.53974
2245;6.26282
2250;6.68554
2255;7.4079
2260;8.5299
2265;10.3515
2270;12.4728
2275;14.3937
2280;15.7143
2285;16.0345
2290;15.1544
2295;13.5739
2300;11.593
2305;9.91182
2310;8.63027
2315;8.24838
2320;8.16614
2325;8.08356
2330;7.70063
2335;6.61736
2340;4.63375
2345;2.0498
2350;-0.534485
2355;-3.01911
2360;-5.00407
2365;-6.18937
2370;-6.77499
2375;-6.76095
2380;-6.24725
2385;-5.33387
2390;-4.12082
2395;-3.10809
2400;-2.49569
2405;-2.38362
2410;-2.47187
2415;-2.36044
2420;-1.84933
2425;-1.53854
2430;-1.42807
2435;-1.41792
2440;-1.10808
2445;-0.598563
2450;0.210646
2455;1.11954
2460;1.62813
2465;1.2364
2470;0.644372
2475;1.05203
2480;2.55939
2485;3.36644
2490;2.07318
2495;-0.120375
2500;-1.41423
2505;-0.90839
2510;-0.102847
2515;-0.197601
2520;-0.592652
2525;-0.287998
2530;0.716362
2535;1.32043
2540;0.924205
2545;0.0276906
2550;-0.0691133
2555;1.03379
2560;2.73642
2565;3.93875
2570;4.1408
2575;3.74257
2580;4.44406
2585;6.04526
2590;7.04619
2595;8.84683
2600;11.3472
2605;14.0473
2610;13.7471
2615;9.34666
2620;7.34593
2625;6.84493
2630;9.14366
2635;11.4421
2640;13.4403
2645;15.4382
2650;16.4359
2655;16.9333
2660;19.4304
2665;19.8273
2670;18.7239
2675;18.9202
2680;19.4163
2685;19.2122
2690;19.0077
2695;18.7031
2700;17.2981
2705;16.2929
2710;15.5875
2715;15.6818
2720;14.4759
2725;12.0697
2730;10.5632
2735;11.1566
2740;9.64963
2745;7.64245
2750;6.53504
2755;4.02738
2760;1.21948
2765;0.311344
2770;-0.397032
2775;-0.405645
2780;-1.51449
2785;-3.02358
2790;-3.5329
2795;-3.44245
2800;-3.25223
2805;-2.76225
2810;-2.27249
2815;-1.48297
2820;-0.493666
2825;0.695408
2830;2.18426
2835;3.17288
2840;3.26128
2845;2.14946
2850;0.53742
2855;-0.774841
2860;-1.38732
2865;-1.50002
2870;-1.71293
2875;-2.42606
2880;-3.53941
2885;-4.45296
2890;-4.66673
2895;-4.08071
2900;-2.7949
2905;-1.4093
2910;-0.323909
2915;0.0612765
2920;0.146257
2925;-0.0689676
2930;-0.384396
2935;-0.600026
2940;-0.415858
2945;0.0681093
2950;0.351877
2955;-0.264553
2960;-1.58118
2965;-3.098
2970;-3.91502
2975;-3.43223
2980;-2.24964
2985;-0.967239
2990;-0.385027
2995;-1.00301
3000;-2.22117
3005;-3.33953
3010;-3.35807
3015;-2.4768
3020;-1.49571
3025;-0.914807
3030;-0.834085
3035;-0.753545
3040;-0.273186
3045;0.706994
3050;1.587
3055;1.86682
3060;1.54647
3065;1.02594
3070;0.305236
3075;-1.11564
3080;-2.73669
3085;-3.25791
3090;-2.2793
3095;0.299145
3100;1.87742
3105;1.55552
3110;0.633463
3115;0.211237
3120;1.08885
3125;2.66629
3130;4.14358
3135;4.7207
3140;4.49767
3145;3.87447
3150;3.55112
3155;3.62761
3160;3.50394
3165;2.58012
3170;1.35614
3175;0.832009
3180;0.607727
3185;0.483294
3190;1.15871
3195;2.53398
3200;3.9091
3205;3.78407
3210;2.55889
3215;1.43358
3220;1.20811
3225;1.4825
3230;1.45676
3235;1.23086
3240;1.30483
3245;1.47866
3250;0.952354
3255;0.125907
3260;-0.200675
3265;-0.227394
3270;-0.754246
3275;-1.58123
3280;-1.40835
3285;0.364398
3290;2.83702
3295;4.40951
3300;5.88187
3305;7.3541
3310;8.4262
3315;8.89818
3320;8.67004
3325;7.94177
3330;7.11338
3335;6.28487
3340;5.55623
3345;5.22748
3350;5.0986
3355;4.66961
3360;3.9405
3365;2.81127
3370;1.78193
3375;0.952475
3380;0.322906
3385;-0.106776
3390;-0.53657
3395;-1.16647
3400;-1.89649
3405;-2.52661
3410;-2.85684
3415;-2.88718
3420;-2.31762
3425;-0.948172
3430;1.02118
3435;2.49042
3440;2.45956
3445;0.928601
