Site;Latitude;Longitude;accuobs;concobs;accumod;concmod
SD;-81.654303;-149.005134;14.20;0.238;15.31;0.254
WD;-79.783333;-112.133333;20.10;0.143;17.36;0.233
PS1;-90;0;8.72;0.39;5.77;0.426
EDML;-75;0;6.28;0.399;5.75;0.483
EDC;-75.06;123.21;2.5;0.677;2.97;0.575
LDC;-75.1;123.35;2.31;0.59;2.97;0.575
ODC;-74.39;124.1;2.99;0.51;4.84;0.468
VK;-78.466667;106.8;1.93;0.881;1.73;0.817
DF;-77.316667;39.7;3.21;0.87;2.57;0.69
DA;-80.366667;77.35;2.29;1.012;2.5;0.77
SPI;-89.98;-98.15;8.16;0.349;5.33;0.336
