age;stackVKtr;stackFluxVKtr
1866;-7.968238205;-7.428061137
1861;-8.351089087;-7.52977127
1856;-8.678489204;-7.635212022
1851;-8.814647969;-7.674253971
1846;-8.862931637;-7.683596469
1841;-9.107743674;-7.730109888
1836;-9.567205832;-7.820674805
1831;-9.806280508;-7.865017936
1826;-9.936282737;-7.887096976
1821;-9.956445336;-7.841430863
1816;-7.39562938;-5.295871686
1811;-5.854626459;-3.754986206
1806;-5.010458749;-2.89915986
1801;-4.492182783;-2.364286134
1796;-5.386058169;-3.636689422
1791;-6.592270533;-5.29583563
1786;-7.153321011;-6.094245536
1781;-7.408000869;-6.483226727
1776;-7.994997771;-7.179825165
1771;-10.12143879;-9.472206631
1766;-11.30150165;-10.76174545
1761;-11.96680717;-11.5059703
1756;-12.39153963;-11.99478195
1751;-12.47329237;-12.06126455
1746;-12.54244558;-12.12471667
1741;-12.66593148;-12.26623892
1736;-12.81228747;-12.44128436
1731;-12.59955441;-12.28586772
1726;-12.02741095;-11.79649042
1721;-11.78641865;-11.61695005
1716;-11.70908188;-11.59011372
1711;-11.66949408;-11.58606947
1706;-10.06150027;-9.599835906
1701;-9.115492447;-8.439573499
1696;-8.616896578;-7.838452325
1691;-8.327556486;-7.498554853
1686;-7.765674996;-7.001785857
1681;-7.18182778;-6.511863338
1676;-6.824333721;-6.204339508
1671;-6.577126579;-5.98626084
1666;-7.03959401;-6.492865114
1661;-9.755719326;-9.331940652
1656;-11.21528341;-10.864957
1651;-11.98932526;-11.68556811
1646;-12.44519288;-12.17543896
1641;-12.88548389;-12.47146528
1636;-13.22837696;-12.70002843
1631;-13.48629416;-12.90505666
1626;-13.70184704;-13.09651499
1621;-13.39914512;-12.86383136
1616;-12.59600342;-12.21643318
1611;-12.23352022;-11.93982272
1606;-12.08929171;-11.84664987
1601;-12.06553511;-11.85517878
1596;-12.95611621;-12.65723606
1591;-13.51840763;-13.17297058
1586;-13.85257762;-13.48980764
1581;-14.08012659;-13.71355302
1576;-14.77920364;-14.37052986
1571;-15.5521191;-15.09588494
1566;-16.0287359;-15.55057368
1561;-16.36219507;-15.87442612
1556;-16.35810127;-15.93611567
1551;-15.40645309;-15.28915013
1546;-14.95873895;-15.01272071
1541;-14.78569526;-14.93808395
1536;-14.73898929;-14.95585185
