age_C14;BeVKn;BeEDMLn;BeWDnorm;BeDFnorm;BeSPnorm;BeSDnorm;BeODCnorm;BeDA Norm ;BeLDCNorm;BeEDCNorm;BeSPInorm;number_sites;stackVK
1161;0.951233184;;1.045808079;0.807509379;;0.977179478;1.012935156;0.803768824;;;1.050644261;7;0.949868337
1183;0.876404089;;0.74326545;0.77866881;;0.843210825;0.888235241;0.760499715;;;1.143495405;7;0.861968505
1205;0.860677006;;0.732736546;0.885387692;;0.97698504;0.759126203;0.950107492;;;0.933281379;7;0.871185908
1227;0.993436828;0.874998026;0.750788042;;;1.128898034;0.876761471;1.183266163;;;0.9602427;7;0.966913038
1249;1.167715267;1.104866917;0.892462602;;;1.174991073;1.047010102;1.207544892;;;1.193881447;7;1.1126389
1271;1.139133576;1.178140876;0.997121557;;;1.129836712;0.976639712;1.156597011;;;1.260305142;7;1.119682084
1293;1.144645011;1.049720492;0.984264256;;;1.115418538;1.045668333;0.991421903;;;1.252833315;7;1.08342455
1315;0.933569218;1.012284997;0.820508586;;;1.049508372;0.845632312;0.864899391;;;1.078692047;7;0.943584989
1337;0.959743857;1.021342361;0.706318292;;;1.016043337;0.932621047;1.029001961;;;1.038115092;7;0.957597993
1359;0.955186039;1.038466157;0.860783579;;;0.996298125;1.409082045;1.008436593;;;1.057148491;7;1.046485861
1381;0.939274835;1.014208278;0.840932389;;;0.985657153;1.366488489;1.063457816;;;0.937535464;7;1.021079204
1403;1.05077866;0.957470522;0.676280523;;;0.918143807;1.345930736;1.001534434;;;0.912875921;7;0.980430657
1425;0.94912858;0.920435133;0.859069824;;;0.907679915;0.896910655;0.895807646;;;0.97540595;7;0.914919672
1447;0.91488294;0.898921581;0.72380329;;;0.928323029;0.89659961;0.862354393;;;0.936876838;7;0.880251669
1469;0.993688458;0.941249565;0.796807596;;;0.978989985;0.897775877;0.933595171;;;1.015787767;7;0.93684206
1491;0.988583099;0.914258338;0.643221905;;;1.051359498;0.860706877;1.1165221;;;0.970535546;7;0.935026766
1513;1.080097096;0.925064323;0.917476569;;;1.041552805;1.209414375;1.144718221;;;1.074332657;7;1.056093721
1535;0.97446946;1.069136338;0.961528621;;;1.06780367;1.031496098;1.057353234;;;1.054059434;7;1.030835265
1557;0.9484991;1.028180524;0.810977293;;;0.968250568;0.873145344;0.964755302;;;0.817181211;7;0.91585562
1579;0.854630688;0.919652473;0.714728311;;;0.919963032;0.922521684;0.955509083;;;0.742456803;7;0.861351725
1601;0.953673614;0.94422215;0.759555758;;;0.935820945;0.917257148;0.98793777;;;0.777734738;7;0.896600303
1623;0.961735543;1.001819781;0.788343645;;;0.974418243;0.959308237;0.988256508;;;0.876797929;7;0.935811412
1645;0.917973999;0.900485712;0.729747105;;;1.027119238;0.947714797;0.909074191;;;0.769797074;7;0.885987445
1667;0.935171555;0.85403896;0.685285988;;;1.067908849;0.870571902;1.014853139;;;0.822765918;7;0.89294233
1689;1.061901482;0.990410369;0.97209376;;;1.03401827;1.045319938;1.047223953;;;1.029280297;7;1.025749724
1711;1.054133009;1.077471963;0.927190871;;;0.983373415;1.076507783;0.889534577;;;0.996471672;7;1.000669041
1733;0.854552843;0.953952323;0.849088717;;;0.916581579;1.053160404;0.974255345;;;0.896249351;7;0.928262937
1755;0.817042449;0.956214436;0.844268934;;;0.863799852;0.970157876;0.975212429;;;0.812935491;7;0.891375924
1777;0.806432841;0.908150858;0.763551127;;;0.926840455;0.982890474;1.017688357;;;0.750826273;7;0.879482912
1799;1.0123127;0.959364899;0.80788399;;;1.001585903;1.072062256;1.12782598;;;0.845204658;7;0.975177198
1821;1.066886566;1.058611004;1.045384425;;;0.91002885;1.261179444;1.035367832;;;1.043690286;7;1.060164058
1843;0.993939952;1.011195953;0.863779308;;;0.878937324;0.99998262;0.895104046;;;0.969495689;7;0.944633556
1865;1.048984177;1.054599668;0.810486404;;;0.925799367;1.114621293;0.963192888;;;0.860489753;7;0.968310507
1887;1.040775172;1.16047515;0.829405212;;;0.961325295;1.088592936;0.960205439;;;0.958333538;7;0.999873249
1909;0.964621488;1.031199023;0.757583862;;;0.970933001;0.920190562;0.899478638;;;0.677304243;7;0.888758688
1931;1.02652596;0.945588491;0.864894748;;;0.97336326;0.949113494;0.851345454;;;0.936185944;7;0.935288193
1953;0.931319426;0.879690936;0.824061137;;;1.040987832;1.042056462;0.972171403;;;0.862339266;7;0.936089495
1975;0.972595783;0.966818212;0.840103823;;;0.91384945;1.032445091;0.991112074;;;0.837965717;7;0.936412879
1997;0.937449948;0.891806929;0.753914332;;;0.82573536;0.872329696;0.849551149;;;0.781623273;7;0.844630098
2019;0.982370765;0.850082626;0.877231356;;;0.875439299;0.892714069;0.906898888;;;0.913714948;7;0.89977885
2041;1.028858001;0.845949827;0.852824439;;;0.922386138;1.015271233;1.00188247;;;0.805524412;7;0.924670931
2063;1.038954772;0.959268915;0.838812597;;;0.984325266;1.004484755;1.114694344;;;0.832642005;7;0.967597522
2085;0.925895052;0.954343501;0.879183182;;;0.960066003;0.945967619;1.100082232;;;0.808348125;7;0.939126531
2107;0.932771088;0.912934598;0.788090029;;;0.947932049;0.90817887;0.906269595;;;;6;0.899362705
2129;0.978198332;0.979665701;0.806083051;;;0.975964328;1.047717669;0.804107775;;;;6;0.931956143
2151;0.999023097;0.950456049;0.915156251;;;0.928087711;0.918711511;0.86322339;;;;6;0.929109668
2173;0.981738449;0.867567471;0.779208733;;;0.892765909;0.917194917;0.906177453;;;;6;0.890775489
2195;0.959245827;0.828246873;0.767444071;;;0.984684592;0.899563473;0.875956319;;;;6;0.885856859
2217;0.96387003;0.858466562;0.852936735;;;1.046435688;0.975140468;0.889360393;;;;6;0.93103498
2239;0.895896035;0.907130312;0.859947649;;;1.114406834;1.131640107;1.090529733;;;;6;0.999925112
2261;1.045120157;0.962759245;0.970727683;;;1.218291378;1.247517498;1.258057572;;;;6;1.117078922
2283;1.163573507;1.136448251;1.081414867;;;1.265125672;1.26288856;1.29312314;;;;6;1.200428999
2305;1.376892797;1.167851083;1.258581092;;;1.202849731;1.285013134;1.177144216;;;;6;1.244722009
2327;1.204672947;1.166706992;1.278884482;;;1.021429566;1.16017649;1.023837307;;;;6;1.142617964
2349;1.021109108;1.117614214;;;;0.857063915;1.032909876;0.882002386;;;;5;0.9821399
2371;0.798162333;0.952088755;;;;0.900483409;0.937599029;0.773016058;;;;5;0.872269917
2393;0.819992623;0.849660475;;;;0.937351509;0.917144931;0.826248265;;;;5;0.870079561
2415;0.908042887;0.879852799;;;;0.869097489;0.930087147;0.833983057;;;;5;0.884212676
2437;0.871181047;0.8380725;;;;0.910093728;0.947519839;0.847778554;;;;5;0.882929133
2459;0.924386264;0.857888742;;;;0.934554496;0.982908911;0.971887503;;;;5;0.934325183
2481;0.979932163;0.883134636;;;;0.878154646;1.003652828;0.890081452;;;;5;0.926991145
2503;0.910934995;0.997564195;;;;0.833888253;0.867477502;0.891947642;;;;5;0.900362517
2525;0.8934413;0.926452679;;;;0.836392179;0.86583089;0.943273972;;;;5;0.893078204
2547;0.893083147;0.899661755;;;;0.895508791;0.796485741;0.797436664;;;;5;0.85643522
2569;0.915235388;0.866331608;;;;0.933016946;0.876550251;0.892200695;;;;5;0.896666978
2591;1.012651713;0.819879102;;;;0.974110548;1.002852438;0.944190948;;;;5;0.95073695
2613;1.117577905;0.92592314;;;;1.01538183;0.990921714;0.987468969;;;;5;1.007454712
2635;0.935059578;0.880317215;;;;1.040253165;0.99055742;1.043481278;;;;5;0.977933731
2657;1.043657486;0.916214641;;;;1.105276248;1.091598974;1.035817706;;;;5;1.038513011
2679;1.073211798;1.04548733;;;;1.161491257;1.193056563;1.052549774;;;;5;1.105159344
2701;1.149715005;1.04766423;;;;1.113550444;1.187956165;1.084543941;;;;5;1.116685957
2723;1.152555844;1.091022291;;;;0.978089;1.139417544;1.134107485;;;;5;1.099038433
2745;1.170081774;1.159594965;;;;0.866189491;1.089983053;1.272459784;;;;5;1.111661814
2767;1.078271091;1.086184149;;;;0.840928101;0.990087172;1.066530113;;;;5;1.012400125
2789;0.842141129;0.928741108;;;;0.883346756;0.911444413;0.885598255;;;;5;0.890254332
2811;0.752476231;0.802551822;;;;0.909495541;0.857409412;1.000478633;;;;5;0.864482328
2833;0.892723535;0.775731115;;;;0.926140075;0.874165228;0.992075745;;;;5;0.89216714
2855;0.952471991;0.933976771;;;;0.924407922;0.961856244;0.914097981;;;;5;0.937362182
2877;0.907093933;0.919749232;;;;0.900120618;0.937590352;0.894977731;;;;5;0.911906373
2899;0.811845595;0.830607667;;;;0.85330625;0.922678912;0.954443406;;;;5;0.874576366
2921;0.980593934;0.929688093;;;;0.86651292;1.00817977;0.975098117;;;;5;0.952014567
2943;0.904615174;0.990700066;;;;0.855681599;1.170327624;0.873896702;;;;5;0.959044233
2965;0.892264486;0.913416331;;;;0.896523887;1.121381041;0.831446499;;;;5;0.931006449
