age_synchro;FluxVK;FluxEDML;FluxWD;FluxDF;FluxPS1;FluxSD;FluxODC;FluxDA;FluxLDC;FluxEDC;FluxSPI
2745;55.48034914;85.25449818;;;;84.19390081;46.13168465;85.6215173;;;
2767;52.89032029;79.19040019;;;;81.73848546;41.90376086;71.76488221;;;
2789;43.80289434;69.05608048;;;;85.86159249;38.5753394;59.59030476;;;
2811;41.33659398;60.58143602;;;;88.40326295;36.2883996;67.32039761;;;
2833;50.0275189;58.22165145;;;;90.02111711;36.99756111;66.75498246;;;
2855;51.67291294;69.97930432;;;;89.85275127;40.70893468;61.50799974;;;
2877;46.97408926;70.08069917;;;;87.49201733;39.68192196;60.22143268;;;
2899;40.31850633;61.85156098;;;;82.94164557;39.05082055;64.22277044;;;
2921;47.80609148;67.72014248;;;;84.22533817;42.66949939;65.61258859;;;
2943;44.20560744;74.31845726;;;;83.17253022;49.53213239;58.80292843;;;
2965;44.64892832;67.97158142;;;;87.142414;47.46055127;55.94653104;;;
2987;47.69502208;67.66887158;;;;86.2600934;44.70489637;57.68797573;;;
3009;46.80918016;68.1196874;;;;86.76712148;38.05023592;54.3068989;;;
3031;51.21663471;65.85970169;;;;94.39450375;36.96668179;67.1280726;;;
3053;45.92032678;65.85731471;;;;93.97988771;37.3444561;75.55722902;;;
3075;52.25366125;60.50205438;;;;88.97330957;43.16182964;68.31755134;;;
3097;49.25136291;65.7856038;;;;90.25518798;42.13893267;;;;
3119;51.77763294;69.35052237;;;;91.24586997;43.63656969;;;;
3141;56.12862796;70.23027589;;;;90.31151655;40.11826053;;;;
3163;52.26962762;72.21731794;;;;93.4907491;32.46993329;;;;
3185;48.59172446;69.98296187;;;;96.08833677;25.28350418;;;;
3207;51.03517081;67.73487372;;;;93.86277633;29.15459556;;;;
3229;45.99798229;68.66376158;;;;91.69012532;25.64213095;;;;
3251;50.65326795;62.3061989;;;;89.76647232;30.60299733;;;;
3273;52.78580365;70.78463966;;;;89.27515774;33.05630974;;;;
3295;49.31845094;76.68279302;;;;92.19449219;35.84593477;;;;
3317;61.27614062;79.93980318;;;;95.26025625;40.80569552;;;;
3339;61.66409469;87.78395321;;;;96.89038678;45.93253804;;;;
3361;56.06250423;79.92877223;;;;93.91543727;39.8012742;;;;
3383;55.82280783;75.01440861;;;;91.42647985;35.54054414;;;;
3405;55.53410425;70.74877138;;;;90.83388359;38.8825968;;;;
3427;55.52801546;63.39668116;;;;90.31483506;40.53684554;;;;
3449;50.70173375;72.39468192;;;;89.79578653;43.46483439;;;;
3471;45.96022365;66.58554109;;;;89.27673805;47.02093214;;;;
3493;45.27336062;67.88162916;;;;;48.38091139;;;;
3515;45.46822359;68.02552177;;;;;47.35652828;;;;
3537;48.36293238;70.60793958;;;;;50.29925182;;;;
3559;53.30166579;74.63061027;;;;;49.4917085;;;;
3581;52.17179894;73.73327028;;;;;35.51240734;;;;
3603;55.74575158;73.38599088;;;;;44.19659851;;;;
3625;55.92340026;68.15508172;;;;;45.34878389;;;;
3647;50.39816131;64.23129275;;;;;39.46673219;;;;
3669;53.51367626;69.08080427;;;;;37.41453099;;;;
3691;56.70496645;71.29790095;;;;;39.19647285;;;;
3713;53.04805989;76.55768795;;;;;41.61765119;;;;
3735;51.16822084;75.54528879;;;;;42.21960799;;;;
3757;46.54957748;69.93429059;;;;;41.38798291;;;;
3779;45.29580238;66.11965716;;;;;40.97022989;;;;
3801;52.9337556;65.49441155;;;;;45.80938496;;;;
3823;55.59708359;74.44100915;;;;;49.18538456;;;;
3845;55.02923674;72.8786807;;;;;43.96293362;;;;
3867;50.45142707;68.45856903;;;;;41.69699215;;;;
3889;47.98355143;74.95533742;;;;;42.16828378;;;;
3911;49.23881863;76.08869281;;;;;43.52684445;;;;
3933;50.11284425;69.42914704;;;;;47.71184016;;;;
3955;47.85585199;65.35367362;;;;;48.16044444;;;;
3977;51.31458759;64.30210161;;;;;46.54037972;;;;
3999;47.77170443;67.60793718;;;;;47.16582248;;;;
4021;43.17157276;66.031829;;;;;48.84191506;;;;
4043;47.21479658;66.30424984;;;;;50.51800765;;;;
4065;53.32813727;68.73845799;;;;;51.53476215;;;;
4087;50.14342178;70.74915945;;;;;48.22087755;;;;
4109;42.10529028;69.68636424;;;;;44.11896289;;;;
4131;48.73532298;65.0016969;;;;;41.14754516;;;;
4153;51.20707034;69.90229101;;;;;43.44047494;;;;
4175;48.33031182;67.67832155;;;;;46.14943748;;;;
4197;47.08436457;65.87021822;;;;;46.42036295;;;;
4219;49.46169304;73.53258631;;;;;;;;;
4241;50.88762576;76.63240614;;;;;;;;;
4263;50.66419438;65.27048488;;;;;;;;;
4285;56.65239135;63.57503633;;;;;;;;;
4307;56.97418142;66.4098006;;;;;;;;;
4329;57.45832051;70.63629722;;;;;;;;;
4351;56.71038793;68.07029837;;;;;;;;;
4373;67.07626736;67.50314504;;;;;;;;;
4395;67.63546979;71.35420286;;;;;;;;;
4417;67.29502029;72.59895315;;;;;;;;;
4439;59.84327007;69.7783447;;;;;;;;;
4461;57.07782736;67.90165619;;;;;;;;;
4483;61.59939091;71.49830471;;;;;;;;;
4505;61.55945866;80.71129584;;;;;;;;;
4527;57.69633103;78.98985835;;;;;;;;;
4549;54.55931313;70.72757797;;;;;;;;;
4571;54.7264098;74.90484328;;;;;;;;;
4593;52.62629383;66.84986022;;;;;;;;;
4615;49.00431154;64.07678392;;;;;;;;;
4637;47.9137282;71.19471177;;;;;;;;;
4659;47.83764035;68.99261315;;;;;;;;;
4681;48.20698642;69.58350981;;;;;;;;;
4703;48.61545874;69.87958695;;;;;;;;;
4725;47.99337909;59.32094951;;;;;;;;;
4747;51.72093986;64.34174245;;;;;;;;;
4769;57.3382176;80.60585311;;;;;;;;;
4791;63.63100475;79.91830991;;;;;;;;;
4813;67.68505281;84.15886948;;;;;;;;;
4835;63.09674144;76.99976974;;;;;;;;;
4857;52.35582344;82.86736971;;;;;;;;;
4879;44.53798128;80.58475613;;;;;;;;;
4901;47.72368066;66.79165126;;;;;;;;;
4923;47.23387368;64.81395416;;;;;;;;;
4945;48.92516158;65.9510832;;;;;;;;;
4967;53.95931732;68.0529053;;;;;;;;;
4989;47.95916322;60.65395511;;;;;;;;;
5011;47.48477583;61.35733746;;;;;;;;;
5033;55.25093965;68.63528501;;;;;;;;;
5055;48.54470604;66.59053637;;;;;;;;;
5077;50.4385826;59.47392839;;;;;;;;;
5099;54.04400449;67.00962165;;;;;;;;;
5121;51.38690026;59.64231652;;;;;;;;;
5143;47.76036133;58.97252251;;;;;;;;;
5165;45.01266827;58.74415201;;;;;;;;;
5187;45.48356152;59.2192194;;;;;;;;;
5209;53.49984294;69.5270912;;;;;;;;;
5231;66.60168786;77.91273004;;;;;;;;;
5253;69.28290746;80.29194742;;;;;;;;;
5275;67.06083099;86.63025531;;;;;;;;;
5297;63.09236135;89.21172864;;;;;;;;;
5319;58.81077283;84.28971528;;;;;;;;;
5341;53.93829505;72.61274933;;;;;;;;;
5363;45.84370803;61.84387069;;;;;;;;;
5385;49.51718944;64.13821034;116.7512522;;;;;;;;
5407;53.77007263;67.47191335;133.795059;;;;;;;;
5429;63.93924405;74.55418583;129.9999335;;;;;;;;
5451;64.25387625;82.69707119;117.9934566;;;;;;;;
5473;56.36840491;78.91038851;136.5133382;;;;;;;;
5495;51.71380105;62.4920482;109.6014157;;;;;;;;
5517;52.77071612;65.04152271;105.8587686;;;;;;;;
5539;53.57991415;76.55242893;104.5090805;;;;;;;;
5561;60.5850184;77.81493973;132.0068568;;;;;;;;
5583;56.84126801;82.4954525;160.2410668;;;;;;;;
5605;57.83565185;80.13225151;152.5739013;;;;;;;;
5627;50.15235502;68.91824443;143.1241897;;;;;;;;
5649;52.46708773;66.50991307;124.5464759;;;;;;;;
5671;56.27006422;68.41160184;111.703652;;;;;;;;
5693;52.20289735;72.17457747;132.0683871;;;;;;;;
5715;47.8335001;76.89332309;151.767857;;;;;;;;
5737;48.81566672;73.59097638;111.586262;;;;;;;;
5759;49.3610128;70.4104985;84.50708781;;;;;;;;
5781;47.17832198;68.73091934;87.79608831;;;;;;;;
5803;51.81298844;65.22708165;127.9239261;;;;;;;;
5825;56.04555194;70.66257248;121.2655787;;;;;;;;
5847;56.60990154;76.22535303;159.7438821;;;;;;;;
5869;61.27699003;81.12828823;143.9103806;;;;;;;;
5891;64.9501173;83.10154285;139.6870453;;;;;;;;
5913;62.67806785;83.13102137;160.3790077;;;;;;;;
5935;56.00250769;77.70019154;143.9716895;;;;;;;;
5957;52.62776419;71.55209247;115.1333878;;;;;;;;
5979;53.50013493;73.72750714;110.6674864;;;;;;;;
6001;54.26463414;70.39176444;196.4375966;;;;;;;;
6023;51.21422557;70.47156918;131.1800791;;;;;;;;
6045;48.1409619;74.68632684;103.3068776;;;;;;;;
6067;50.24875632;72.08021765;98.79299533;;;;;;;;
6089;57.25899163;77.71544666;113.8206349;;;;;;;;
6111;56.71696565;80.77903048;113.3341831;;;;;;;;
6133;55.29777877;77.55228305;112.1042381;;;;;;;;
6155;57.8784109;78.216799;104.3700309;;;;;;;;
6177;61.7775617;78.85970178;115.4695488;;;;;;;;
6199;59.18321145;75.06642481;125.615628;;;;;;;;
6221;52.99095967;75.53219516;140.9838847;;;;;;;;
6243;57.68447584;73.36842134;116.8869474;;;;;;;;
6265;67.66674664;81.94421723;127.9991122;;;;;;;;
6287;66.3113302;95.53826441;179.1757562;;;;;;;;
6309;57.82539368;82.36619425;134.7118544;;;;;;;;
6331;56.05564393;73.53737705;84.29049222;;;;;;;;
6353;51.97862798;69.92231081;104.6289156;;;;;;;;
6375;53.43202745;76.76233574;109.8650541;;;;;;;;
6397;55.5132461;88.19848787;123.1124992;;;;;;;;
6419;49.9434182;79.86582141;118.7450092;;;;;;;;
6441;52.20488034;69.03161217;118.9412538;;;;;;;;
6463;51.90201397;68.02400699;110.2395189;;;;;;;;
6485;51.96769627;70.76863787;117.6294217;;;;;;;;
6507;52.44884824;73.39562124;110.5365671;;;;;;;;
6529;52.11879841;71.65283157;105.5280208;;;;;;;;
6551;54.72318936;68.88496223;96.70794986;;;;;;;;
6573;62.42704283;70.83893917;109.0641883;;;;;;;;
6595;54.59616602;69.7309334;135.1918452;;;;;;;;
6617;60.89891079;82.0914745;139.478695;;;;;;;;
6639;66.09262197;89.44768662;135.1470731;;;;;;;;
6661;63.57349676;86.94948167;140.5677081;;;;;;;;
6683;55.09920765;74.84985123;135.4003555;;;;;;;;
6705;54.5582549;68.86727504;127.2917548;;;;;;;;
6727;50.33136416;81.84888041;136.0827063;;;;;;;;
6749;49.28623262;80.9081105;137.0323438;;;;;;;;
6771;49.72460365;72.82100663;108.8709375;;;;;;;;
6793;47.64324393;75.97244924;119.6539678;;;;;;;;
6815;46.9152028;70.05866482;110.8569184;;;;;;;;
6837;48.73777824;72.01133598;102.6922269;;;;;;;;
6859;44.11976699;73.74692277;128.7759571;;;;;;;;
6881;51.24447283;77.16029923;156.708578;;;;;;;;
6903;47.33610314;83.46352703;148.8607276;;;;;;;;
6925;41.30230427;70.80947791;109.4053786;;;;;;;;
6947;41.70489058;74.86234483;105.1832424;;;;;;;;
6969;42.721336;75.5718655;109.6040833;;;;;;;;
6991;40.96183983;76.67822687;107.83629;;;;;;;;
7013;38.7465727;74.4465364;113.0930059;;;;;;;;
7035;35.82372813;68.25095758;110.6623996;;;;;;;;
7057;34.89321117;66.34409258;114.9978776;;;;;;;;
7079;34.27367808;66.07077848;135.872244;;;;;;;;
7101;34.6165372;72.996409;113.4247487;;;;;;;;
