age_vostok;Be_conc_vostok;age_da;Be_conc_da;age_edc;Be_conc_edc;age_odc;Be_conc_odc;age_sp;Be_conc_sp;age_df;Be_conc_df;age_edml;Be_conc_edml;age_ldc;Be_conc_ldc;age_sd;Be_conc_sd;age_spi;Be_conc_spi;age_td;Be_conc_td;age_wd;Be_conc_wd
2716.5;0.62;;;747.42;0.551;;;975.3;;;;4428;0.411;;;185.87;0.191;1653.14;0.237;83620;0.293;1800.05;0.112
2737.5;0.782;;;752.36;0.693;;;981.5;0.423;;;4450;0.395;;;187.5;0.244;1666.14;0.285;84050;0.188;1811.65;0.131
2758;0.795;;;757.17;0.535;;;990.5;0.31;;;4472;0.362;;;188.77;0.139;1679.58;0.323;85445;0.247;1825.45;0.161
2778.5;0.783;;;762.11;0.632;;;999;0.355;;;4494;0.379;;;189.95;0.15;1693;0.35;87340;0.202;1838.55;0.141
2799.5;0.612;;;767.33;0.565;;;1004;0.315;;;4516;0.452;;;190.67;0.235;1706.11;0.331;88288;0.212;1851;0.123
2820.5;0.822;;;772.07;0.532;;;1009.5;0.231;;;4538;0.419;;;191.49;0.229;1718.15;0.291;89284;0.221;1864.15;0.115
2841.5;0.819;;;776.62;0.67;;;1019;0.437;;;4560;0.35;;;192.94;0.229;1730.04;0.283;90990;0.31;1879.35;0.116
2862.5;0.658;;;781.43;0.713;;;1025.5;0.308;;;4582;0.415;;;194.96;0.14;1743.01;0.3;93840;0.333;1893.3;0.113
2883.5;0.819;;;785.89;0.606;;;1034;0.397;;;4604;0.366;;;196.47;0.311;1755.53;0.242;95807;0.235;1906.25;0.126
2904;0.74;;;790.28;0.747;;;1045;0.364;;;4626;0.354;;;197.91;0.18;1767.28;0.235;96878;0.252;1919.3;0.096
2924.5;0.73;;;794.91;0.469;;;1053;0.394;;;4648;0.415;;;199.55;0.177;1779.94;0.244;98887;0.267;1932.25;0.122
2945.5;0.838;;;799.33;0.51;;;1061.5;0.37;;;4670;0.383;;;200.74;0.265;1791.96;0.265;100230;0.273;1946.1;0.123
2966.5;0.68;;;803.78;0.632;;;1070;0.375;;;4692;0.366;;;201.72;0.261;1803.07;0.277;102240;0.194;1959.5;0.127
2988;0.856;;;808.47;0.777;;;1078;0.338;;;4714;0.407;;;202.71;0.28;1814.25;0.317;103650;0.265;1973;0.109
3009.5;0.76;;;812.88;0.455;;;1083.1;0.361;;;4736;0.33;;;203.78;0.249;1825.87;0.368;105980;0.283;1986.35;0.126
3030.5;0.742;;;817.23;0.478;;;1088.1;;;;4758;0.342;;;204.83;0.26;1837.78;0.331;106790;0.301;1999.05;0.123
3051.5;0.881;;;821.82;0.515;;;1095.5;0.353;;;4780;0.448;;;205.89;0.108;1848.7;0.252;109970;0.264;2009.65;0.102
3072.5;0.81;;;826.09;0.422;;;1103;0.359;;;4802;0.423;;;206.85;0.187;1860.3;0.283;110760;0.241;2017.95;0.116
3093.5;0.8;;;830.28;0.744;;;;;;;4824;0.468;;;207.58;0.177;1872.61;0.316;111730;0.241;2028.65;0.101
3114.5;0.74;;;834.71;0.39;;;;;;;4846;0.403;;;208.58;0.288;1885.36;0.307;112620;0.227;2041.5;0.122
3135.5;0.851;;;838.85;0.412;;;;;;;4868;0.456;;;209.77;0.189;1897.87;0.144;115360;0.213;2054.6;0.136
3156.5;0.682;;;842.94;0.471;;;;;;;4890;0.399;;;210.83;0.222;1909.14;0.318;119470;0.204;2067.7;0.12
3178;0.813;;;847.25;0.6;;;;;;;4912;0.322;;;212.11;0.226;1921.04;0.297;122340;0.158;2081.1;0.12
3199.5;0.829;;;851.35;0.624;;;;;;;4934;0.354;;;213.26;0.222;1932.66;0.281;125080;0.176;2094.05;0.122
3220.5;0.727;;;855.44;0.47;;;;;;;4956;0.354;;;214.15;0.239;1944.2;0.273;135990;0.204;2106.8;0.116
3241.5;1.04;;;859.75;0.503;;;;;;;4978;0.387;;;215.08;0.241;1956.78;0.281;142560;0.23;2120.7;0.134
3263;0.842;;;863.85;0.458;;;;;;;5000;0.338;;;217.25;0.195;1968.88;0.257;149680;0.291;2134.05;0.114
3284.5;0.838;;;867.94;0.469;;;;;;;5022;0.334;;;218.31;0.16;1980.48;0.241;155880;0.25;2147.55;0.108
3305.5;0.83;;;872.25;0.591;;;;;;;5044;0.387;;;219.23;0.209;1991.9;0.262;160070;0.218;2160.95;0.121
3326.75;0.866;;;876.59;0.553;;;;;;;5066;0.407;;;220.29;0.276;2010.66;0.312;165100;0.219;2173.65;0.108
3348.25;0.797;;;881.17;0.57;;;;;;;5088;0.317;;;221.25;0.194;2030.11;0.257;171760;0.229;2186.8;0.131
3369.5;0.728;;;886.01;0.604;;;;;;;5110;0.395;;;222.04;0.191;2042.23;0.243;175160;0.266;2198.1;0.134
3390.5;0.75;;;890.59;0.563;;;;;;;5132;0.326;;;222.74;0.175;2052.95;0.282;178930;0.17;2205.75;0.113
3411.5;0.718;;;895.17;0.484;;;;;;;5154;0.346;;;223.64;0.156;2064.45;0.264;183490;0.173;2213.8;0.105
3433;0.823;;;900.01;0.671;;;;;;;5176;0.33;;;224.67;0.327;;;188150;0.248;2222.9;0.1
3454.5;0.751;;;904.59;0.833;;;;;;;5198;0.313;;;225.46;0.184;;;190480;0.223;2229.16;0.109
3475.5;0.81;;;909.17;0.74;;;;;;;5220;0.395;;;227.04;0.147;;;195140;0.201;2237.72;0.118
3497;0.83;;;914.01;0.669;;;;;;;5242;0.427;;;228.06;0.22;;;204550;0.189;2249.64;0.124
3518.5;0.719;;;918.66;0.626;;;;;;;5264;0.419;;;228.69;0.184;;;211530;0.162;2260.15;0.119
3540;0.741;;;923.37;0.55;;;;;;;5286;0.468;;;229.54;0.176;;;225600;0.125;2270.1;0.123
3561.5;0.89;;;928.34;0.763;;;;;;;5308;0.497;;;230.69;0.253;;;;;2280.12;0.136
3582.5;0.811;;;933.12;0.643;;;;;;;5330;0.452;;;231.75;0.209;;;;;2290.68;0.15
3604;0.84;;;937.97;0.707;;;;;;;5352;0.366;;;232.65;0.169;;;;;2302.09;0.157
3625.5;0.777;;;943.08;0.589;;;;;;;5374;0.362;;;233.42;0.198;;;;;2313.51;0.183
3647;0.674;;;947.94;0.628;;;;;;;5396;0.387;;;234.35;0.162;;;;;2324.04;0.196
3668.5;0.834;;;952.81;0.633;;;;;;;5418;0.362;;;235.44;0.187;;;;;2334.13;0.164
3690;0.861;;;957.96;0.521;;;;;;;5440;0.448;;;236.67;0.207;;;;;2345.15;0.154
3711.5;0.84;;;962.89;0.706;;;;;;;5462;0.444;;;237.98;0.257;;;;;4200;
3733;0.74;;;967.86;0.842;;;;;;;5484;0.44;;;239.35;0.312;;;;;5380.7;0.14
3754.5;0.75;;;973.11;0.592;;;;;;;5506;0.342;;;240.89;0.332;;;;;5403.6;0.152
3776;0.818;;;977.91;0.531;;;;;;;5528;0.374;;;242.06;0.279;;;;;5426.15;0.163
3797.5;0.749;;;982.52;0.857;;;;;;;5550;0.452;;;248.98;0.183;;;;;5448.45;0.174
3819;0.85;;;987.39;0.536;;;;;;;5572;0.431;;;250.01;0.299;;;;;5467.75;0.176
3841;0.748;;;992.09;0.482;;;;;;;5594;0.48;;;250.92;0.37;;;;;5487.35;0.162
3862.5;0.666;;;996.87;0.504;;;;;;;5616;0.448;;;251.64;0.182;;;;;5509.2;0.134
3884;0.868;;;1001.91;0.573;;;;;;;5638;0.366;;;315.44;0.257;;;;;5531.65;0.122
3906;0.866;;;1006.69;0.586;;;;;;;5660;0.395;;;329.79;0.234;;;;;5553.4;0.162
3927.5;0.649;;;1011.47;0.464;;;;;;;5682;0.395;;;342.7;0.22;;;;;5573.4;0.189
3949;0.82;;;1016.51;0.529;;;;;;;5704;0.395;;;397.42;0.241;;;;;5595.1;0.169
3971;0.86;;;1021.27;0.509;;;;;;;5726;0.415;;;409.85;0.26;;;;;5618.25;
3992.5;0.795;;;1026.02;0.579;;;;;;;5748;0.391;;;421.93;0.291;;;;;5639.7;0.13
4014;0.758;;;1031.03;0.528;;;;;;;5770;0.366;;;434.49;0.257;;;;;5659.35;
4036;0.776;;;;;;;;;;;5792;0.366;;;446.85;0.262;;;;;5678.1;0.153
4057.5;0.809;;;;;;;;;;;5814;0.362;;;460.75;0.249;;;;;5695.95;0.161
4079;0.718;;;;;;;;;;;5836;0.403;;;475.28;0.326;;;;;5713.45;0.146
4101;0.772;;;;;;;;;;;5858;0.435;;;485.46;0.285;;;;;5733.25;0.147
4123;0.838;;;;;;;;;;;5880;0.48;;;509.58;0.286;;;;;5754.25;0.134
4144.5;0.75;;;;;;;;;;;5902;0.48;;;535.34;0.25;;;;;5774.25;0.123
4166;0.823;;;;;;;;;;;5924;0.452;;;554.43;0.276;;;;;5793.2;0.149
4188;0.755;;;;;;;;;;;5946;0.399;;;570.57;0.223;;;;;5811.5;0.158
4210;1;;;;;;;;;;;5968;0.387;;;627.87;0.281;;;;;5829.45;0.133
4231.5;0.911;;;;;;;;;;;5990;0.44;;;642.07;0.246;;;;;5847.05;0.167
4253;0.948;;;;;;;;;;;6012;0.37;;;656.31;0.246;;;;;5865.45;0.168
4275;0.798;;;;;;;;;;;6034;0.423;;;671.28;0.272;;;;;5884.75;0.172
4297;0.78;;;;;;;;;;;6056;0.383;;;685.94;0.241;;;;;5904;0.202
4319;0.883;;;;;;;;;;;6078;0.411;;;700.14;0.187;;;;;5923.2;0.188
4340.5;0.853;;;;;;;;;;;6100;0.448;;;714.79;0.218;;;;;5942.6;0.173
4362;0.802;;;;;;;;;;;6122;0.444;;;729.49;0.208;;;;;5963.2;0.14
4384;0.787;;;;;;;;;;;6144;0.452;;;741.67;0.191;;;;;5983.75;0.15
4406;0.835;;;;;;;;;;;6166;0.452;;;753.59;0.217;;;;;6003.05;0.273
4428;0.765;;;;;;;;;;;6188;0.431;;;767.57;0.229;;;;;6022.45;0.131
4450;0.754;;;;;;;;;;;6210;0.448;;;783.01;0.228;;;;;6043.1;0.137
4472;0.767;;;;;;;;;;;6232;0.407;;;798.77;0.194;;;;;6064.8;0.141
4493.5;0.78;;;;;;;;;;;6254;0.452;;;813.26;0.212;;;;;6085.2;0.151
4515;0.781;;;;;;;;;;;6276;0.598;;;827.33;0.208;;;;;6104.2;0.15
4537;0.742;;;;;;;;;;;6298;0.509;;;841.07;0.186;;;;;6124.1;0.152
4559;0.812;;;;;;;;;;;6320;0.448;;;855.51;0.171;;;;;6144.05;0.16
4581;0.904;;;;;;;;;;;6342;0.419;;;869.9;0.245;;;;;6163.3;0.154
4603;1.04;;;;;;;;;;;6364;0.427;;;883.94;0.283;;;;;6182.45;0.168
4625;0.998;;;;;;;;;;;6386;0.517;;;898.5;0.25;;;;;6201.6;0.186
4647;0.815;;;;;;;;;;;6408;0.533;;;912.63;0.26;;;;;6220.4;0.154
4669;0.69;;;;;;;;;;;6430;0.395;;;926.92;0.204;;;;;6239;0.152
4691;0.837;;;;;;;;;;;6452;0.374;;;942.8;0.299;;;;;6257.65;0.175
4713;0.683;;;;;;;;;;;6474;0.387;;;958.76;0.244;;;;;6277.1;
4735;0.88;;;;;;;;;;;6496;0.419;;;973.86;0.194;;;;;6296.6;0.242
4757;0.801;;;;;;;;;;;6518;0.411;;;989.67;0.203;;;;;6316.15;0.158
4779;0.675;;;;;;;;;;;6540;0.387;;;1005.9;0.178;;;;;6336.2;0.139
4801;0.92;;;;;;;;;;;6562;0.435;;;1021.01;0.223;;;;;6355.6;0.165
4823;0.723;;;;;;;;;;;6584;0.391;;;1036.84;0.239;;;;;6375.35;0.139
4845;0.746;;;;;;;;;;;6606;0.44;;;1054.15;0.2;;;;;6394.7;0.168
4867;0.822;;;;;;;;;;;6628;0.472;;;1070.91;0.205;;;;;6413.6;0.181
4889.5;0.753;;;;;;;;;;;6650;0.509;;;1087.89;0.219;;;;;6432.95;0.155
4912;0.709;;;;;;;;;;;6672;0.472;;;1104.93;0.207;;;;;6451.85;0.16
4934;0.676;;;;;;;;;;;6694;0.403;;;1121.41;0.233;;;;;6469.75;0.153
4956;0.804;;;;;;;;;;;6716;0.415;;;1138.18;0.23;;;;;6487.95;0.179
4978;1.06;;;;;;;;;;;6738;0.554;;;1156;0.254;;;;;6507.25;0.146
5000;1.03;;;;;;;;;;;6760;0.399;;;1173.88;0.195;;;;;6526.25;0.154
5022.25;0.969;;;;;;;;;;;6782;0.46;;;1190.96;0.174;;;;;6545.3;0.144
5044.75;0.89;;;;;;;;;;;6804;0.399;;;1207.27;0.213;;;;;6564.85;0.161
5067.13;0.846;;;;;;;;;;;6826;0.419;;;1223.41;0.227;;;;;6584.35;0.147
5089.38;0.66;;;;;;;;;;;6848;0.435;;;1241.38;0.275;;;;;6603.4;0.156
5111.63;0.74;;;;;;;;;;;6870;0.431;;;1259.29;0.232;;;;;6622.8;0.172
5133.88;0.78;;;;;;;;;;;6892;0.517;;;1276.11;0.251;;;;;6642.85;0.19
5156;0.983;;;;;;;;;;;6914;0.399;;;1331.74;0.224;;;;;6662.15;0.19
5178;0.9;;;;;;;;;;;6936;0.468;;;1352.06;0.214;;;;;6681.5;0.156
5200.25;0.735;;;;;;;;;;;6958;0.452;;;1372.33;0.216;;;;;6701.45;0.145
5222.75;0.79;;;;;;;;;;;6980;0.435;;;1413.83;0.193;;;;;6721.55;0.162
5245.25;0.766;;;;;;;;;;;7002;0.427;;;1453.46;0.2;;;;;6741.5;0.184
5267.75;0.94;;;;;;;;;;;7024;0.399;;;1472.87;0.217;;;;;6761.4;0.136
5290;0.831;;;;;;;;;;;7046;0.395;;;1492.64;0.234;;;;;6781.3;0.156
5312;0.895;;;;;;;;;;;7068;0.379;;;1512.96;0.219;;;;;6801.2;0.144
5334.25;0.71;;;;;;;;;;;7090;0.46;;;1532.63;0.237;;;;;6821.6;0.139
5356.75;0.8;;;;;;;;;;;7112;0.403;;;1551.84;0.196;;;;;6842.05;0.155
5379.25;0.868;;;;;;;;;;;7134;0.541;;;1612.32;0.203;;;;;6862.65;0.158
5401.75;0.79;;;;;;;;;;;;;;;1654.52;0.233;;;;;6884.05;0.181
5424.25;0.712;;;;;;;;;;;;;;;1674.45;0.217;;;;;6905.25;0.177
5446.75;0.741;;;;;;;;;;;;;;;1694.99;0.205;;;;;6925.6;0.143
5469;0.77;;;;;;;;;;;;;;;1715.69;0.188;;;;;6946.1;0.157
5491.5;0.704;;;;;;;;;;;;;;;1736.81;0.184;;;;;6966.8;0.164
5514;0.78;;;;;;;;;;;;;;;1757.43;0.224;;;;;6986.75;0.151
5536.5;0.87;;;;;;;;;;;;;;;1819.75;0.185;;;;;7006.85;0.163
5559;0.841;;;;;;;;;;;;;;;1841.96;0.205;;;;;7027.2;0.147
5581.25;0.896;;;;;;;;;;;;;;;1864.26;0.21;;;;;7047.95;0.141
5603.75;0.97;;;;;;;;;;;;;;;1909.35;0.208;;;;;7069.5;0.155
5626.33;0.94;;;;;;;;;;;;;;;1929.51;0.233;;;;;7091.5;0.175
5649;0.82;;;;;;;;;;;;;;;1950.58;0.171;;;;;7113.4;0.155
5671.67;0.78;;;;;;;;;;;;;;;1994.89;0.187;;;;;7135.1;0.156
5694.25;0.83;;;;;;;;;;;;;;;2016.36;0.202;;;;;;
5716.75;0.86;;;;;;;;;;;;;;;2038.64;0.218;;;;;;
5739.5;0.76;;;;;;;;;;;;;;;2062.27;0.2;;;;;;
5762;0.75;;;;;;;;;;;;;;;2109.22;0.213;;;;;;
5784.5;0.891;;;;;;;;;;;;;;;2132.97;0.187;;;;;;
5807.5;0.83;;;;;;;;;;;;;;;2155.48;0.215;;;;;;
5830;0.812;;;;;;;;;;;;;;;2195.57;0.234;;;;;;
5852.5;0.948;;;;;;;;;;;;;;;2220.71;0.277;;;;;;
5875.5;0.92;;;;;;;;;;;;;;;2245.48;0.262;;;;;;
5898.25;0.783;;;;;;;;;;;;;;;2293.32;0.178;;;;;;
5920.75;0.91;;;;;;;;;;;;;;;2315.61;0.207;;;;;;
5943.5;1.07;;;;;;;;;;;;;;;2339.76;0.182;;;;;;
5966.5;0.98;;;;;;;;;;;;;;;2363.27;0.207;;;;;;
5989.5;0.813;;;;;;;;;;;;;;;2387.12;0.191;;;;;;
6012.36;0.859;;;;;;;;;;;;;;;2412.89;0.178;;;;;;
6035.07;0.75;;;;;;;;;;;;;;;2437.56;0.18;;;;;;
6057.79;0.97;;;;;;;;;;;;;;;2461.28;0.198;;;;;;
6080.5;0.83;;;;;;;;;;;;;;;2486.12;0.203;;;;;;
6103.21;0.91;;;;;;;;;;;;;;;2513.33;0.218;;;;;;
6125.93;0.88;;;;;;;;;;;;;;;2540.78;0.222;;;;;;
6148.64;0.87;;;;;;;;;;;;;;;2567.98;0.241;;;;;;
6171.5;0.857;;;;;;;;;;;;;;;2595.21;0.255;;;;;;
6194.5;0.816;;;;;;;;;;;;;;;2620.71;0.231;;;;;;
6217.5;1.1;;;;;;;;;;;;;;;2647.04;0.195;;;;;;
6240.5;0.87;;;;;;;;;;;;;;;2676;0.177;;;;;;
6263.5;1;;;;;;;;;;;;;;;2704.54;0.189;;;;;;
6286.5;1.1;;;;;;;;;;;;;;;2787.62;0.2;;;;;;
6309.5;1.07;;;;;;;;;;;;;;;2815.83;0.199;;;;;;
6332.5;0.86;;;;;;;;;;;;;;;2844.28;0.182;;;;;;
6355.5;0.885;;;;;;;;;;;;;;;2875.23;0.188;;;;;;
6378.5;0.79;;;;;;;;;;;;;;;2911.19;0.183;;;;;;
6401.5;0.87;;;;;;;;;;;;;;;2946.13;0.199;;;;;;
6424.5;0.85;;;;;;;;;;;;;;;2978.5;0.183;;;;;;
6447.5;0.857;;;;;;;;;;;;;;;3008.64;0.209;;;;;;
6470.5;0.953;;;;;;;;;;;;;;;3038.67;0.212;;;;;;
6493.38;0.83;;;;;;;;;;;;;;;3079.16;0.194;;;;;;
6516.13;1.13;;;;;;;;;;;;;;;3119.62;0.205;;;;;;
6538.88;0.88;;;;;;;;;;;;;;;3151.33;0.198;;;;;;
6561.63;0.84;;;;;;;;;;;;;;;3182.91;0.206;;;;;;
6584.5;0.9;;;;;;;;;;;;;;;3216.31;0.215;;;;;;
6607.5;0.87;;;;;;;;;;;;;;;3250.22;0.207;;;;;;
6630.5;0.848;;;;;;;;;;;;;;;3349.64;0.196;;;;;;
6653.5;0.79;;;;;;;;;;;;;;;3393.91;0.217;;;;;;
6676.5;0.81;;;;;;;;;;;;;;;3429.05;0.203;;;;;;
6699.5;0.82;;;;;;;;;;;;;;;3497.12;0.2;;;;;;
6722.5;0.861;;;;;;;;;;;;;;;3568.31;0.179;;;;;;
6745.5;1.04;;;;;;;;;;;;;;;3800.78;0.196;;;;;;
;;;;;;;;;;;;;;;;3835.48;0.18;;;;;;
;;;;;;;;;;;;;;;;3868.4;0.191;;;;;;
;;;;;;;;;;;;;;;;3901.97;0.188;;;;;;
;;;;;;;;;;;;;;;;3936.01;0.184;;;;;;
;;;;;;;;;;;;;;;;4141.37;0.203;;;;;;
;;;;;;;;;;;;;;;;4178.42;0.196;;;;;;
;;;;;;;;;;;;;;;;4221.82;0.2;;;;;;
;;;;;;;;;;;;;;;;4273.58;0.215;;;;;;
;;;;;;;;;;;;;;;;4602.7;0.218;;;;;;
;;;;;;;;;;;;;;;;4643.04;0.188;;;;;;
;;;;;;;;;;;;;;;;4921.29;0.192;;;;;;
;;;;;;;;;;;;;;;;5217.51;0.201;;;;;;
;;;;;;;;;;;;;;;;5321.33;0.241;;;;;;
;;;;;;;;;;;;;;;;5370.69;0.208;;;;;;
;;;;;;;;;;;;;;;;5416.02;0.243;;;;;;
;;;;;;;;;;;;;;;;5455.92;0.225;;;;;;
;;;;;;;;;;;;;;;;5541.78;0.2;;;;;;
;;;;;;;;;;;;;;;;5584.91;0.187;;;;;;
;;;;;;;;;;;;;;;;5627.31;0.218;;;;;;
;;;;;;;;;;;;;;;;5905.18;0.233;;;;;;
;;;;;;;;;;;;;;;;6197.56;0.211;;;;;;
;;;;;;;;;;;;;;;;6235.17;0.201;;;;;;
;;;;;;;;;;;;;;;;6272.64;0.192;;;;;;
;;;;;;;;;;;;;;;;6310.87;0.209;;;;;;
;;;;;;;;;;;;;;;;6418.34;0.207;;;;;;
;;;;;;;;;;;;;;;;6459.31;0.229;;;;;;
;;;;;;;;;;;;;;;;6820.81;0.212;;;;;;
;;;;;;;;;;;;;;;;7437.21;0.233;;;;;;
;;;;;;;;;;;;;;;;8372.4;0.194;;;;;;
;;;;;;;;;;;;;;;;8539.93;0.28;;;;;;
;;;;;;;;;;;;;;;;8697.08;0.198;;;;;;
;;;;;;;;;;;;;;;;9367.08;0.187;;;;;;
;;;;;;;;;;;;;;;;9967.08;0.183;;;;;;
;;;;;;;;;;;;;;;;10709.58;0.191;;;;;;
;;;;;;;;;;;;;;;;10748.19;0.21;;;;;;
;;;;;;;;;;;;;;;;10829.86;0.197;;;;;;
;;;;;;;;;;;;;;;;10990.69;0.268;;;;;;
;;;;;;;;;;;;;;;;11004.31;0.228;;;;;;
;;;;;;;;;;;;;;;;11077.92;0.251;;;;;;
;;;;;;;;;;;;;;;;11137.22;0.2;;;;;;
;;;;;;;;;;;;;;;;11242.36;0.222;;;;;;
;;;;;;;;;;;;;;;;11275;0.21;;;;;;
;;;;;;;;;;;;;;;;11309.86;0.214;;;;;;
;;;;;;;;;;;;;;;;11701.25;0.204;;;;;;
;;;;;;;;;;;;;;;;11823.61;0.195;;;;;;
;;;;;;;;;;;;;;;;11866.25;0.206;;;;;;
;;;;;;;;;;;;;;;;11879.31;0.27;;;;;;
;;;;;;;;;;;;;;;;11981.94;0.218;;;;;;
;;;;;;;;;;;;;;;;12435.97;0.253;;;;;;
;;;;;;;;;;;;;;;;12536.53;0.251;;;;;;
;;;;;;;;;;;;;;;;13000.97;0.238;;;;;;
;;;;;;;;;;;;;;;;13314.17;0.316;;;;;;
;;;;;;;;;;;;;;;;13362.36;0.258;;;;;;
;;;;;;;;;;;;;;;;13418.19;0.267;;;;;;
;;;;;;;;;;;;;;;;13442.08;0.268;;;;;;
;;;;;;;;;;;;;;;;13465.56;0.294;;;;;;
;;;;;;;;;;;;;;;;13492.92;0.252;;;;;;
;;;;;;;;;;;;;;;;13633.33;0.286;;;;;;
;;;;;;;;;;;;;;;;13887.5;0.357;;;;;;
;;;;;;;;;;;;;;;;13912.36;0.363;;;;;;
;;;;;;;;;;;;;;;;13934.44;0.312;;;;;;
;;;;;;;;;;;;;;;;13957.36;0.322;;;;;;
;;;;;;;;;;;;;;;;13983.47;0.337;;;;;;
;;;;;;;;;;;;;;;;14453.33;0.446;;;;;;
;;;;;;;;;;;;;;;;14653.06;0.365;;;;;;
;;;;;;;;;;;;;;;;14677.64;0.347;;;;;;
;;;;;;;;;;;;;;;;14704.31;0.345;;;;;;
;;;;;;;;;;;;;;;;14730.83;0.363;;;;;;
;;;;;;;;;;;;;;;;14784.58;0.403;;;;;;
;;;;;;;;;;;;;;;;14809.86;0.393;;;;;;
;;;;;;;;;;;;;;;;14887.36;0.362;;;;;;
;;;;;;;;;;;;;;;;14914.31;0.4;;;;;;
;;;;;;;;;;;;;;;;14941.67;0.434;;;;;;
;;;;;;;;;;;;;;;;14969.44;0.385;;;;;;
;;;;;;;;;;;;;;;;14997.08;0.353;;;;;;
;;;;;;;;;;;;;;;;15024.72;0.326;;;;;;
;;;;;;;;;;;;;;;;15203.89;0.416;;;;;;
;;;;;;;;;;;;;;;;15247.78;0.439;;;;;;
;;;;;;;;;;;;;;;;15274.17;0.446;;;;;;
;;;;;;;;;;;;;;;;15300.97;0.457;;;;;;
;;;;;;;;;;;;;;;;15327.92;0.401;;;;;;
;;;;;;;;;;;;;;;;15354.44;0.418;;;;;;
;;;;;;;;;;;;;;;;15380.14;0.399;;;;;;
;;;;;;;;;;;;;;;;15406.25;0.351;;;;;;
;;;;;;;;;;;;;;;;15432.92;0.393;;;;;;
;;;;;;;;;;;;;;;;15481.11;0.455;;;;;;
;;;;;;;;;;;;;;;;15506.81;0.43;;;;;;
;;;;;;;;;;;;;;;;15559.44;0.414;;;;;;
;;;;;;;;;;;;;;;;15585.42;0.39;;;;;;
;;;;;;;;;;;;;;;;15612.08;0.394;;;;;;
;;;;;;;;;;;;;;;;15635;0.381;;;;;;
;;;;;;;;;;;;;;;;15685.69;0.41;;;;;;
;;;;;;;;;;;;;;;;15712.78;0.325;;;;;;
;;;;;;;;;;;;;;;;15740.83;0.328;;;;;;
;;;;;;;;;;;;;;;;15767.64;0.406;;;;;;
;;;;;;;;;;;;;;;;15792.36;0.352;;;;;;
;;;;;;;;;;;;;;;;15842.92;0.401;;;;;;
;;;;;;;;;;;;;;;;15894.31;0.352;;;;;;
;;;;;;;;;;;;;;;;15939.44;0.364;;;;;;
;;;;;;;;;;;;;;;;15988.19;0.221;;;;;;
;;;;;;;;;;;;;;;;16033.06;0.323;;;;;;
;;;;;;;;;;;;;;;;16049.03;0.266;;;;;;
;;;;;;;;;;;;;;;;16112.92;0.302;;;;;;
;;;;;;;;;;;;;;;;16140.83;0.33;;;;;;
;;;;;;;;;;;;;;;;16168.61;0.268;;;;;;
;;;;;;;;;;;;;;;;16194.31;0.339;;;;;;
;;;;;;;;;;;;;;;;16220.69;0.398;;;;;;
;;;;;;;;;;;;;;;;16292.08;0.357;;;;;;
;;;;;;;;;;;;;;;;16370.83;0.385;;;;;;
;;;;;;;;;;;;;;;;16398.33;0.39;;;;;;
;;;;;;;;;;;;;;;;16452.92;0.367;;;;;;
;;;;;;;;;;;;;;;;16479.58;0.379;;;;;;
;;;;;;;;;;;;;;;;16526.94;0.428;;;;;;
;;;;;;;;;;;;;;;;16603.75;0.427;;;;;;
;;;;;;;;;;;;;;;;16669.58;0.353;;;;;;
;;;;;;;;;;;;;;;;16796.53;0.382;;;;;;
;;;;;;;;;;;;;;;;16820.69;0.364;;;;;;
;;;;;;;;;;;;;;;;16845.69;0.356;;;;;;
;;;;;;;;;;;;;;;;16898.47;0.384;;;;;;
;;;;;;;;;;;;;;;;16923.19;0.535;;;;;;
;;;;;;;;;;;;;;;;16950.28;0.436;;;;;;
;;;;;;;;;;;;;;;;16973.61;0.384;;;;;;
;;;;;;;;;;;;;;;;17030.42;0.36;;;;;;
;;;;;;;;;;;;;;;;17074.03;0.384;;;;;;
;;;;;;;;;;;;;;;;17097.92;0.46;;;;;;
;;;;;;;;;;;;;;;;17169.31;0.363;;;;;;
;;;;;;;;;;;;;;;;17193.89;0.373;;;;;;
;;;;;;;;;;;;;;;;17247.08;0.411;;;;;;
;;;;;;;;;;;;;;;;17322.36;0.333;;;;;;
;;;;;;;;;;;;;;;;17351.25;0.329;;;;;;
;;;;;;;;;;;;;;;;17402.78;0.382;;;;;;
;;;;;;;;;;;;;;;;17423.89;0.393;;;;;;
;;;;;;;;;;;;;;;;17442.08;0.513;;;;;;
;;;;;;;;;;;;;;;;17489.58;0.583;;;;;;
;;;;;;;;;;;;;;;;17514.03;0.464;;;;;;
;;;;;;;;;;;;;;;;17540.97;0.515;;;;;;
;;;;;;;;;;;;;;;;17592.78;0.502;;;;;;
;;;;;;;;;;;;;;;;17613.89;0.555;;;;;;
;;;;;;;;;;;;;;;;17658.33;0.607;;;;;;
;;;;;;;;;;;;;;;;17760.56;0.58;;;;;;
;;;;;;;;;;;;;;;;17805.83;0.544;;;;;;
;;;;;;;;;;;;;;;;17898.61;0.482;;;;;;
;;;;;;;;;;;;;;;;17928.33;0.545;;;;;;
;;;;;;;;;;;;;;;;17999.17;0.34;;;;;;
;;;;;;;;;;;;;;;;18026.39;0.291;;;;;;
;;;;;;;;;;;;;;;;18051.39;0.304;;;;;;
;;;;;;;;;;;;;;;;18108.89;0.337;;;;;;
;;;;;;;;;;;;;;;;18225.14;0.352;;;;;;
